batch,max_seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
32,8192,16384,64,2,h100,114,57,8,14592,456,80,50,2000,0,1.9448341918945313,attn
64,8192,2048,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.2746548583984375,attn
128,4096,8192,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.2748100662231446,attn
64,16384,8192,32,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
32,1024,4096,16,4,h100,114,57,8,14592,456,80,50,2000,0,0.006745070385932922,attn
128,16384,16384,128,8,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,4096,4096,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.09550199661254882,attn
4,8192,8192,64,1,h100,114,57,8,14592,456,80,50,2000,0,0.1779892265319824,attn
8,4096,2048,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.00318880478143692,attn
64,8192,16384,128,2,h100,114,57,8,14592,456,80,50,2000,0,,attn
128,2048,8192,64,2,h100,114,57,8,14592,456,80,50,2000,0,0.39374926910400393,attn
32,16384,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,1.0533115295410156,attn
64,2048,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.29976845703125,attn
128,16384,4096,64,1,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,8192,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.8252777923583985,attn
32,8192,4096,16,8,h100,114,57,8,14592,456,80,50,2000,0,0.07616916885375977,attn
16,1024,8192,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.009876900815963745,attn
64,16384,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,,attn
128,4096,16384,8,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,8192,4096,128,2,h100,114,57,8,14592,456,80,50,2000,0,1.144901153564453,attn
32,8192,8192,128,1,h100,114,57,8,14592,456,80,50,2000,0,1.67741748046875,attn
128,8192,16384,32,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,4096,1024,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.03324654560089112,attn
8,16384,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.7465901000976561,attn
