batch,max_seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
4,8192,8192,16,8,a100,108,54,7,6912,432,40,40,1555,0,0.03184066553115845,attn
16,2048,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.03432396793365479,attn
64,16384,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
128,4096,16384,32,8,a100,108,54,7,6912,432,40,40,1555,0,1.1351109680175782,attn
64,8192,2048,128,1,a100,108,54,7,6912,432,40,40,1555,0,2.5392124145507817,attn
32,8192,4096,128,2,a100,108,54,7,6912,432,40,40,1555,0,0.7366911529541016,attn
128,8192,8192,16,8,a100,108,54,7,6912,432,40,40,1555,0,1.1187270080566407,attn
64,4096,2048,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.09910502395629885,attn
32,16384,16384,64,2,a100,108,54,7,6912,432,40,40,1555,0,,attn
32,8192,8192,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.25260349502563473,attn
64,8192,8192,128,2,a100,108,54,7,6912,432,40,40,1555,0,2.256735437011719,attn
128,4096,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
32,16384,2048,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.6511633422851562,attn
64,2048,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.13873950805664065,attn
128,16384,8192,32,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,4096,4096,128,2,a100,108,54,7,6912,432,40,40,1555,0,0.43187850799560545,attn
16,8192,16384,8,8,a100,108,54,7,6912,432,40,40,1555,0,0.3937359344482422,attn
2,2048,4096,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.0035004415988922123,attn
64,16384,16384,64,8,a100,108,54,7,6912,432,40,40,1555,0,,attn
128,8192,8192,16,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,8192,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,1.0966433349609375,attn
32,4096,16384,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.5083817443847656,attn
128,8192,2048,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.42132356872558585,attn
64,512,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.014665216064453127,attn
16,16384,4096,64,1,a100,108,54,7,6912,432,40,40,1555,0,1.5936772033691404,attn
16,1024,16384,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.025792870521545407,attn
64,16384,4096,16,4,a100,108,54,7,6912,432,40,40,1555,0,1.523709539794922,attn
128,4096,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,1.4225702392578126,attn
32,8192,8192,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.25376404342651365,attn
64,8192,2048,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.17557022705078126,attn
128,8192,16384,64,2,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,2048,4096,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.04845358066558837,attn
4,16384,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.22253419570922853,attn
8,8192,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.22699811859130858,attn
64,8192,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.9059133422851564,attn
128,2048,1024,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.040205568122863765,attn
64,16384,16384,32,2,a100,108,54,7,6912,432,40,40,1555,0,,attn
32,4096,8192,16,1,a100,108,54,7,6912,432,40,40,1555,0,0.752349493408203,attn
128,16384,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,8192,16384,32,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
32,8192,4096,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.23213455505371092,attn
32,8192,4096,8,2,a100,108,54,7,6912,432,40,40,1555,0,0.4577143280029296,attn
64,8192,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.5698471984863283,attn
128,4096,2048,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.12946856918334962,attn
32,16384,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,2048,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.13988469772338866,attn
128,16384,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,4096,16384,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.5188210693359375,attn
8,8192,4096,32,2,a100,108,54,7,6912,432,40,40,1555,0,0.09505187721252442,attn
