batch,max_seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel,seq_length
64,4096,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.17391861724853516,attn,NA
16,16384,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,1.411813635253906,attn,NA
4,4096,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.01200035834312439,attn,NA
64,8192,8192,8,1,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
128,512,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.1978338829040527,attn,NA
64,16384,4096,32,4,a100,108,54,7,6912,432,40,40,1555,0,1.2096735778808594,attn,NA
32,2048,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.06915205078124999,attn,NA
128,16384,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,8192,2048,32,2,a100,108,54,7,6912,432,40,40,1555,0,0.41919841156005855,attn,NA
16,8192,16384,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.3108407302856445,attn,NA
32,8192,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.45243642425537106,attn,NA
64,8192,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.9061216766357422,attn,NA
128,4096,4096,16,8,a100,108,54,7,6912,432,40,40,1555,0,0.1353185272216797,attn,NA
32,16384,16384,128,2,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,1024,8192,128,2,a100,108,54,7,6912,432,40,40,1555,0,0.1272979969024658,attn,NA
128,16384,8192,32,8,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,4096,16384,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.5242647064208985,attn,NA
8,8192,1024,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.03954877433776856,attn,NA
16,4096,16384,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.26232022857666015,attn,NA
64,16384,2048,128,4,a100,108,54,7,6912,432,40,40,1555,0,2.4621683471679687,attn,NA
